"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"7U5ZF8OZ","WP1A4","2020/05/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","1343"
"2DE3P8SJ","WP1A4","2020/05/27","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","33","48574"
"6A9ABCGZ","WP1A4","2020/05/27","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","22","24738"
"2QN72S9N","WP1A4","2020/05/27","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","7","43305"
"7PJ5SNLM","WP1A4","2020/05/27","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","26","31313"
"7JYUZC1T","WP1A4","2020/05/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","2","6900"
"7BI2PFXC","WP1A4","2020/05/27","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","2","3662"
"79NB4C3N","WP1A4","2020/05/27","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","5","16714"
"75MZRBWG","WP1A4","2020/05/27","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","7","9652"
"71XHK47C","WP1A4","2020/05/27","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","10","11871"
"2XA8QKHP","WP1A4","2020/05/27","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","3","5493"
"2UCP9ZYR","WP1A4","2020/05/27","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","5","6802"
"2RPXX8WW","WP1A4","2020/05/27","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","7","7366"
"2LUVZ4VA","WP1A4","2020/05/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","12","14480"
"2K15E11L","WP1A4","2020/05/27","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","6","9441"
"2CBBTS5A","WP1A4","2020/05/27","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","18","19395"
"25Z2ASDB","WP1A4","2020/05/27","TPF6 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","1930"
"245AOOIM","WP1A4","2020/05/27","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","8","10617"
"21YQXS7U","WP1A4","2020/05/27","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","2","3662"
"7TJG5NRT","WP1A4","2020/05/27","TPF2 - 比企郡, Saitama","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","4841"
"716HTFZW","WP1A4","2020/05/27","TPF9 - 習志野市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","1831"
"2YCZM15Y","WP1A4","2020/05/27","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","477"
"2OSFGOEY","WP1A4","2020/05/27","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","2","5414"
"2O6YYILP","2UQ7Z","2020/05/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","3","7201"
"2FP6OMIY","2UQ7Z","2020/05/27","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","10","37043"
"2DUF3INJ","2UQ7Z","2020/05/27","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","3","6797"
"6XZLKSDD","2UQ7Z","2020/05/27","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","0","0"
"6QWCB5EY","2UQ7Z","2020/05/27","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","1240"
"6NO1OSFX","2UQ7Z","2020/05/27","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","42750"
"6KAAMD6W","2UQ7Z","2020/05/27","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","22350"
"6HCR5SNY","2UQ7Z","2020/05/27","TPF9 - 習志野市, Chiba","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","3","58000"
"68UXUWKH","2UQ7Z","2020/05/27","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","3","113430"
"683Y59DB","2UQ7Z","2020/05/27","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","2","3944"
"643NS97U","2UQ7Z","2020/05/27","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","280"
"4XTYPFTS","2UQ7Z","2020/05/27","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","9712"
"4SAOW49Z","2UQ7Z","2020/05/27","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/27","2020/06/01","1","22350"
