"PO","Vendor","Ordered On","Ship to location","Window Type","Window Start","Window End","Total Cases","Total Cost"
"4FJ73K8B","WP1A4","05/21/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/21/2020","05/26/2020","10","8141"
"1GX9UFBN","WP1A4","05/21/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","16","67237"
"7DXUWGVF","WP1A4","05/21/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/21/2020","05/26/2020","7","4595"
"82GKEFFD","WP1A4","05/21/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","1095"
"8SYR4JCL","WP1A4","05/21/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","8506"
"5646YP9O","WP1A4","05/21/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","6","7051"
"3M5EI9WZ","WP1A4","05/21/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","3486"
"35XRO5XX","WP1A4","05/21/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/21/2020","05/26/2020","25","34147"
"7VDP34SQ","WP1A4","05/21/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","23","18766"
"26NSGSBS","WP1A4","05/21/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/21/2020","05/26/2020","9","9316"
"3VJMYWHW","WP1A4","05/21/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","13090"
"3L833WJQ","WP1A4","05/21/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/21/2020","05/26/2020","9","7765"
"3CQ9T1GZ","WP1A4","05/21/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","3486"
"2E2TV8QA","WP1A4","05/21/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","4592"
"7FCIP44O","WP1A4","05/21/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","3","2182"
"6GGSOKYS","WP1A4","05/21/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","7","8025"
"692RA5JK","WP1A4","05/21/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","9628"
"75RXJRDO","WP1A4","05/21/2020","TPFB - Isehara, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","17","66078"
"5ZMMQLWV","WP1A4","05/20/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/20/2020","05/25/2020","3","2629"
